CPU	 1	 0.033325
CPU	 3	 0.033325
CPU	 5	 0.03335
CPU	 7	 0.03335
CPU	 9	 0.033325
CPU	 11	 0.033325
CPU	 13	 0.033325
CPU	 15	 0.03335
CPU	 17	 0.05
CPU	 19	 0.05
CPU	 21	 0.03335
CPU	 23	 0.033325
CPU	 25	 0.033325
CPU	 27	 0.05
CPU	 29	 0.05
CPU	 31	 0.03335
CPU	 33	 0.03335
CPU	 35	 0.03335
CPU	 37	 0.05
CPU	 39	 0.033325
CPU	 41	 0.033325
CPU	 43	 0.033325
CPU	 45	 0.03335
CPU	 47	 0.033325
CPU	 49	 0.033325
IO	 0	 4301.67
IO	 2	 4301.65
IO	 4	 4301.63
IO	 6	 4301.6
IO	 8	 4301.58
IO	 10	 4301.57
IO	 12	 4301.53
IO	 14	 4301.5
IO	 16	 4301.48
IO	 18	 4301.45
IO	 20	 4301.4
IO	 22	 4301.37
IO	 24	 4301.32
IO	 26	 4301.28
IO	 28	 4301.23
IO	 30	 4301.2
IO	 32	 4301.15
IO	 34	 4301.1
IO	 36	 4301.05
IO	 38	 4301
IO	 40	 4300.93
IO	 42	 4300.88
IO	 44	 4300.82
IO	 46	 4300.75
IO	 48	 4300.68
