CPU	 1	 0.03335
CPU	 3	 0.033325
CPU	 5	 0.033325
CPU	 7	 0.03335
CPU	 9	 0.03335
CPU	 11	 0.033325
CPU	 13	 0.033325
CPU	 15	 0.033325
CPU	 17	 0.03335
CPU	 19	 0.03335
CPU	 21	 0.03335
CPU	 23	 0.03335
CPU	 25	 0.03335
CPU	 27	 0.03335
CPU	 29	 0.03335
CPU	 31	 0.05
CPU	 33	 0.033325
CPU	 35	 0.05
CPU	 37	 0.033325
CPU	 39	 0.033325
CPU	 41	 0.03335
CPU	 43	 0.03335
CPU	 45	 0.033325
CPU	 47	 0.033325
CPU	 49	 0.05
CPU	 51	 0.05
CPU	 53	 0.05
CPU	 55	 0.05
CPU	 57	 0.05
CPU	 59	 0.033325
CPU	 61	 0.05
CPU	 63	 0.05
CPU	 65	 0.05
CPU	 67	 0.05
CPU	 69	 0.03335
CPU	 71	 0.033325
CPU	 73	 0.033325
CPU	 75	 0.03335
CPU	 77	 0.05
CPU	 79	 0.05
CPU	 81	 0.05
CPU	 83	 0.05
CPU	 85	 0.033325
CPU	 87	 0.05
CPU	 89	 0.05
CPU	 91	 0.033325
CPU	 93	 0.05
CPU	 95	 0.033325
CPU	 97	 0.05
CPU	 99	 0.05
IO	 0	 879.717
IO	 2	 879.717
IO	 4	 879.717
IO	 6	 879.717
IO	 8	 879.7
IO	 10	 879.7
IO	 12	 879.7
IO	 14	 879.667
IO	 16	 879.667
IO	 18	 879.667
IO	 20	 879.65
IO	 22	 879.617
IO	 24	 879.6
IO	 26	 879.583
IO	 28	 879.533
IO	 30	 879.517
IO	 32	 879.483
IO	 34	 879.433
IO	 36	 879.417
IO	 38	 879.383
IO	 40	 879.333
IO	 42	 879.3
IO	 44	 879.267
IO	 46	 879.217
IO	 48	 879.167
IO	 50	 879.133
IO	 52	 879.083
IO	 54	 879.033
IO	 56	 878.983
IO	 58	 878.917
IO	 60	 878.867
IO	 62	 878.817
IO	 64	 878.733
IO	 66	 878.683
IO	 68	 878.617
IO	 70	 878.55
IO	 72	 878.5
IO	 74	 878.433
IO	 76	 878.4
IO	 78	 878.333
IO	 80	 878.267
IO	 82	 878.183
IO	 84	 878.117
IO	 86	 878.05
IO	 88	 877.983
IO	 90	 877.917
IO	 92	 877.833
IO	 94	 877.767
IO	 96	 877.7
IO	 98	 877.617
