CPU	 1	 0.033325
CPU	 3	 0.033325
CPU	 5	 0.03335
CPU	 7	 0.033325
CPU	 9	 0.033325
CPU	 11	 0.03335
CPU	 13	 0.03335
CPU	 15	 0.033325
CPU	 17	 0.033325
CPU	 19	 0.033325
CPU	 21	 0.033325
CPU	 23	 0.033325
CPU	 25	 0.033325
CPU	 27	 0.033325
CPU	 29	 0.016675
CPU	 31	 0.03335
CPU	 33	 0.05
CPU	 35	 0.033325
CPU	 37	 0.033325
CPU	 39	 0.05
CPU	 41	 0.033325
CPU	 43	 0.03335
CPU	 45	 0.05
CPU	 47	 0.05
CPU	 49	 0.033325
IO	 0	 416.217
IO	 2	 416.2
IO	 4	 416.183
IO	 6	 416.167
IO	 8	 416.15
IO	 10	 416.133
IO	 12	 416.083
IO	 14	 416.067
IO	 16	 416.05
IO	 18	 416.017
IO	 20	 415.983
IO	 22	 415.95
IO	 24	 415.9
IO	 26	 415.867
IO	 28	 415.817
IO	 30	 415.783
IO	 32	 415.733
IO	 34	 415.683
IO	 36	 415.633
IO	 38	 415.583
IO	 40	 415.533
IO	 42	 415.467
IO	 44	 415.4
IO	 46	 415.35
IO	 48	 415.283
