CPU	 1	 0.01665
CPU	 3	 0.03335
CPU	 5	 0.05
CPU	 7	 0.033325
CPU	 9	 0.033325
CPU	 11	 0.03335
CPU	 13	 0.03335
CPU	 15	 0.05
CPU	 17	 0.033325
CPU	 19	 0.033325
CPU	 21	 0.033325
CPU	 23	 0.033325
CPU	 25	 0.033325
CPU	 27	 0.033325
CPU	 29	 0.033325
CPU	 31	 0.05
CPU	 33	 0.03335
CPU	 35	 0.03335
CPU	 37	 0.03335
CPU	 39	 0.05
CPU	 41	 0.05
CPU	 43	 0.033325
CPU	 45	 0.03335
CPU	 47	 0.05
CPU	 49	 0.033325
IO	 30	 4224.6
IO	 14	 4225.17
IO	 40	 4224.58
IO	 22	 4225.12
IO	 8	 4225.53
IO	 4	 4225.68
IO	 18	 4225.38
IO	 10	 4225.9
IO	 32	 4225.62
IO	 12	 4226.28
IO	 26	 4226.17
IO	 48	 4225.9
IO	 24	 4227
IO	 28	 4227.15
IO	 16	 4227.7
IO	 46	 4227.07
IO	 34	 4227.87
IO	 42	 4227.95
IO	 6	 4228.9
IO	 36	 4228.38
IO	 2	 4229.25
IO	 38	 4228.42
IO	 44	 4228.38
IO	 0	 4229.52
IO	 20	 4229.17
